Timestamp,DayInWeek,DayType,DurationSeconds_Source1,DistanceMeters_Source1,SpeedKmPerHour_Source1,SegmentCode,index,name,updateTime,id,Length_Source2,Time_Source2,HistoricTime_Source2,SpeedKmPerHour_Source2,HistoricSpeedKmPerHour_Source2
2024-02-13 01:00:00,יום ג,יום חול,19,235,44.5263176,15,5413,15_BENGURION--SHLOMO2MENDES-R,2024-02-13 01:00:00,1694269535039.0,236.0,20.0,20.0,42.48,42.48
2024-02-13 01:00:00,יום ג,יום חול,43,290,24.2790699,16,6311,16_BENGURION--SHLOMO2MENDES-L,2024-02-13 01:00:00,1694269481983.0,289.0,75.57142857142857,75.57142857142857,13.767107750472592,13.767107750472592
2024-02-13 00:45:00,יום ג,יום חול,44,290,23.72727203,16,6310,16_BENGURION--SHLOMO2MENDES-L,2024-02-13 00:45:00,1694269481983.0,289.0,67.13333333333334,67.13333333333334,15.49751737835154,15.49751737835154
2024-02-13 00:45:00,יום ג,יום חול,38,186,17.62105179,17,7208,17_KATZIR--EMEKHAELA2MENDES-T,2024-02-13 00:45:00,1694270365195.0,186.0,24.73333333333333,24.73333333333333,27.07277628032345,27.07277628032345
2024-02-13 01:00:00,יום ג,יום חול,32,186,20.92499924,17,7209,17_KATZIR--EMEKHAELA2MENDES-T,2024-02-13 01:00:00,1694270365195.0,186.0,24.0,24.0,27.9,27.9
2024-02-13 01:00:00,יום ג,יום חול,40,177,15.93000031,18,8107,18_KATZIR--MENDES2EMEKHAELA-T,2024-02-13 01:00:00,1694271436635.0,179.0,30.5,30.5,21.127868852459017,21.127868852459017
2024-02-13 00:45:00,יום ג,יום חול,40,177,15.93000031,18,8106,18_KATZIR--MENDES2EMEKHAELA-T,2024-02-13 00:45:00,1694271436635.0,179.0,29.8,29.8,21.624161073825505,21.624161073825505
2024-02-13 00:45:00,יום ג,יום חול,44,230,18.81818199,19,9004,19_KATZIR--EMEKHAELA2MENDES-L,2024-02-13 00:45:00,1694270516874.0,225.0,24.8,24.8,32.66129032258065,32.66129032258065
2024-02-13 01:00:00,יום ג,יום חול,39,230,21.23077011,19,9005,19_KATZIR--EMEKHAELA2MENDES-L,2024-02-13 01:00:00,1694270516874.0,225.0,26.357142857142858,26.357142857142858,30.731707317073173,30.731707317073173
2024-02-13 01:00:00,יום ג,יום חול,66,249,13.58181858,20,10801,20_KATZIR--HOSPITAL2EMEKHAELA-R,2024-02-13 01:00:00,1694271563866.0,252.0,67.57142857142857,67.57142857142857,13.425792811839324,13.425792811839324
